name,company,year,Price,kms_driven,fuel_type
Maruti 800 AC,Maruti,2007,60000,70000,Petrol
Maruti Wagon R LXI Minor,Maruti,2007,135000,50000,Petrol
Hyundai Verna 1.6 SX,Hyundai,2012,600000,100000,Diesel
Datsun RediGO T Option,Datsun,2017,250000,46000,Petrol
Honda Amaze VX i-DTEC,Honda,2014,450000,141000,Diesel
Maruti Alto LX BSIII,Maruti,2007,140000,125000,Petrol
Hyundai Xcent 1.2 Kappa S,Hyundai,2016,550000,25000,Petrol
Tata Indigo Grand Petrol,Tata,2014,240000,60000,Petrol
Hyundai Creta 1.6 VTVT S,Hyundai,2015,850000,25000,Petrol
Maruti Celerio Green VXI,Maruti,2017,365000,78000,CNG
Chevrolet Sail 1.2 Base,Chevrolet,2015,260000,35000,Petrol
Tata Indigo Grand Petrol,Tata,2014,250000,100000,Petrol
Toyota Corolla Altis 1.8 VL CVT,Toyota,2018,1650000,25000,Petrol
Maruti 800 AC,Maruti,2007,60000,70000,Petrol
Maruti Wagon R LXI Minor,Maruti,2007,135000,50000,Petrol
Hyundai Verna 1.6 SX,Hyundai,2012,600000,100000,Diesel
Datsun RediGO T Option,Datsun,2017,250000,46000,Petrol
Honda Amaze VX i-DTEC,Honda,2014,450000,141000,Diesel
Maruti Alto LX BSIII,Maruti,2007,140000,125000,Petrol
Hyundai Xcent 1.2 Kappa S,Hyundai,2016,550000,25000,Petrol
Tata Indigo Grand Petrol,Tata,2014,240000,60000,Petrol
Hyundai Creta 1.6 VTVT S,Hyundai,2015,850000,25000,Petrol
Maruti Celerio Green VXI,Maruti,2017,365000,78000,CNG
Chevrolet Sail 1.2 Base,Chevrolet,2015,260000,35000,Petrol
Tata Indigo Grand Petrol,Tata,2014,250000,100000,Petrol
Toyota Corolla Altis 1.8 VL CVT,Toyota,2018,1650000,25000,Petrol
Maruti Ciaz VXi Plus,Maruti,2015,585000,24000,Petrol
Hyundai Venue SX Opt Diesel,Hyundai,2019,1195000,5000,Diesel
Chevrolet Enjoy TCDi LTZ 7 Seater,Chevrolet,2013,390000,33000,Diesel
Jaguar XF 2.2 Litre Luxury,Jaguar,2014,1964999,28000,Diesel
Mercedes-Benz New C-Class 220 CDI AT,Mercedes-Benz,2013,1425000,59000,Diesel
Maruti Vitara Brezza ZDi Plus AMT,Maruti,2018,975000,4500,Diesel
Audi Q5 2.0 TDI,Audi,2011,1190000,175900,Diesel
Honda City V MT,Honda,2018,930000,14500,Petrol
Tata Tigor 1.2 Revotron XT,Tata,2018,525000,15000,Petrol
Audi A6 2.0 TDI  Design Edition,Audi,2013,1735000,50000,Diesel
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedes-Benz,2012,1375000,33800,Diesel
Skoda Superb Ambition 2.0 TDI CR AT,Skoda,2011,450000,130400,Diesel
Toyota Corolla Altis G AT,Toyota,2016,900000,50000,Petrol
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2015,1300000,80000,Diesel
Jeep Compass 1.4 Sport Plus BSIV,Jeep,2019,1400000,10000,Petrol
Mercedes-Benz E-Class E 200 CGI Elegance,Mercedes-Benz,2010,850000,119000,Petrol
Hyundai i10 Magna 1.1L,Hyundai,2014,229999,60000,Petrol
BMW 3 Series 320d Sport Line,BMW,2013,1550000,75800,Diesel
Audi Q7 35 TDI Quattro Premium,Audi,2009,1250000,78000,Diesel
Hyundai Elantra CRDi S,Hyundai,2012,625000,40000,Diesel
Mahindra Scorpio 1.99 S10,Mahindra,2014,1050000,50000,Diesel
Honda City i DTEC V,Honda,2014,560000,74000,Diesel
Maruti Wagon R VXI BS IV with ABS,Maruti,2014,290000,64000,Petrol
Maruti Wagon R VXI BS IV,Maruti,2012,275000,60000,Petrol
Mahindra Scorpio LX,Mahindra,2009,411000,120000,Diesel
